orth11046: Bcur|XP_011197057.1 Bdor|XP_011203026.1 Bole|XP_014088718.1 Ccap|XP_004536939.1
orth7955: Bcur|XP_011189717.1 Bdor|XP_011213483.1 Bole|XP_014098411.1 Ccap|XP_004523084.1
orth6364: Bcur|XP_011186348.1 Bdor|XP_011202952.1 Bole|XP_014097821.1 Ccap|XP_004518684.1
orth6365: Bcur|XP_011186350.1 Bdor|XP_011211665.1 Bole|XP_014098797.1 Ccap|XP_012161746.1
orth6366: Bcur|XP_011186354.1 Bdor|XP_011211663.1 Bole|XP_014098791.1 Ccap|XP_004536592.1
orth6367: Bcur|XP_011186355.1 Bdor|XP_011213584.1 Bole|XP_014098788.1 Ccap|XP_004536593.1
orth6360: Bcur|XP_011186343.1 Bdor|XP_011211661.1 Bole|XP_014100335.1 Ccap|XP_004536596.1
orth6361: Bcur|XP_011186345.1 Bdor|XP_011211673.1 Bole|XP_014098792.1 Ccap|XP_004524148.1
orth6362: Bcur|XP_011186346.1 Bdor|XP_011211672.1 Bole|XP_014098789.1 Ccap|XP_004524147.1
orth6363: Bcur|XP_011186347.1 Bdor|XP_011211664.1 Bole|XP_014098799.1 Ccap|XP_004536588.1
orth5501: Bcur|XP_011184319.1 Bdor|XP_011202629.1 Bole|XP_014097279.1 Ccap|XP_004530674.2
orth7957: Bcur|XP_011189722.1 Bdor|XP_011213475.1 Bole|XP_014098403.1 Ccap|XP_004523078.1
orth5500: Bcur|XP_011184314.1 Bdor|XP_011202628.1 Bole|XP_014100756.1 Ccap|XP_004530676.1
orth7950: Bcur|XP_011189709.1 Bdor|XP_011213472.1 Bole|XP_014098418.1 Ccap|XP_004523074.1
orth5503: Bcur|XP_011184321.1 Bdor|XP_011211053.1 Bole|XP_014097670.1 Ccap|XP_004526751.1
orth7951: Bcur|XP_011189711.1 Bdor|XP_011213489.1 Bole|XP_014098414.1 Ccap|XP_012155102.1
orth5502: Bcur|XP_011184320.1 Bdor|XP_011202630.1 Bole|XP_014097238.1 Ccap|XP_012159321.1
orth10948: Bcur|XP_011196847.1 Bdor|XP_011211322.1 Bole|XP_014094263.1 Ccap|XP_004537132.1
orth7952: Bcur|XP_011189712.1 Bdor|XP_011213486.1 Bole|XP_014098412.1 Ccap|XP_004521347.1
orth10944: Bcur|XP_011196839.1 Bdor|XP_011209961.1 Bole|XP_014085265.1 Ccap|XP_004535984.1
orth5505: Bcur|XP_011184326.1 Bdor|XP_011202633.1 Bole|XP_014095802.1 Ccap|XP_004530668.1
orth10946: Bcur|XP_011196845.1 Bdor|XP_011211320.1 Bole|XP_014094249.1 Ccap|XP_004537139.1
orth7953: Bcur|XP_011189713.1 Bdor|XP_011213485.1 Bole|XP_014098406.1 Ccap|XP_004523085.1
orth10940: Bcur|XP_011196826.1 Bdor|XP_011209972.1 Bole|XP_014102069.1 Ccap|XP_012157866.1
orth10941: Bcur|XP_011196829.1 Bdor|XP_011209979.1 Bole|XP_014102996.1 Ccap|XP_004519276.1
orth10942: Bcur|XP_011196833.1 Bdor|XP_011209981.1 Bole|XP_014103226.1 Ccap|XP_004519284.1
orth5504: Bcur|XP_011184323.1 Bdor|XP_011202632.1 Bole|XP_014101774.1 Ccap|XP_004530673.1
orth5507: Bcur|XP_011184335.1 Bdor|XP_011211050.1 Bole|XP_014097668.1 Ccap|XP_012157947.1
orth5506: Bcur|XP_011184334.1 Bdor|XP_011202634.1 Bole|XP_014099500.1 Ccap|XP_004530667.1
orth9800: Bcur|XP_011193876.1 Bdor|XP_011208544.1 Bole|XP_014100613.1 Ccap|XP_004524146.1
orth5509: Bcur|XP_011184337.1 Bdor|XP_011202662.1 Bole|XP_014097329.1 Ccap|XP_012159312.1
orth9802: Bcur|XP_011193880.1 Bdor|XP_011208523.1 Bole|XP_014098039.1 Ccap|XP_004536584.1
orth9804: Bcur|XP_011193882.1 Bdor|XP_011212170.1 Bole|XP_014090977.1 Ccap|XP_012159213.1
orth9805: Bcur|XP_011193885.1 Bdor|XP_011198802.1 Bole|XP_014096874.1 Ccap|XP_004519390.1
orth9806: Bcur|XP_011193886.1 Bdor|XP_011205460.1 Bole|XP_014096105.1 Ccap|XP_004519430.1
orth5508: Bcur|XP_011184336.1 Bdor|XP_011202635.1 Bole|XP_014099499.1 Ccap|XP_004530666.1
orth9808: Bcur|XP_011193901.1 Bdor|XP_011205422.1 Bole|XP_014087306.1 Ccap|XP_004520678.1
orth6746: Bcur|XP_011187169.1 Bdor|XP_011212985.1 Bole|XP_014094257.1 Ccap|XP_004524616.1
orth6747: Bcur|XP_011187171.1 Bdor|XP_011204001.1 Bole|XP_014095790.1 Ccap|XP_012161694.1
orth6744: Bcur|XP_011187162.1 Bdor|XP_011203994.1 Bole|XP_014100699.1 Ccap|XP_012161260.1
orth6745: Bcur|XP_011187168.1 Bdor|XP_011203999.1 Bole|XP_014095789.1 Ccap|XP_004517489.1
orth6742: Bcur|XP_011187157.1 Bdor|XP_011203990.1 Bole|XP_014098728.1 Ccap|XP_012161022.1
orth6743: Bcur|XP_011187158.1 Bdor|XP_011203991.1 Bole|XP_014100220.1 Ccap|XP_004517480.1
orth6588: Bcur|XP_011186835.1 Bdor|XP_011201274.1 Bole|XP_014091712.1 Ccap|XP_004525619.1
orth6589: Bcur|XP_011186838.1 Bdor|XP_011201275.1 Bole|XP_014091746.1 Ccap|XP_012157344.1
orth6740: Bcur|XP_011187150.1 Bdor|XP_011203985.1 Bole|XP_014100338.1 Ccap|XP_004517477.1
orth6580: Bcur|XP_011186822.1 Bdor|XP_011199470.1 Bole|XP_014098476.1 Ccap|XP_012159377.1
orth6581: Bcur|XP_011186823.1 Bdor|XP_011197770.1 Bole|XP_014089432.1 Ccap|XP_004520338.1
orth6582: Bcur|XP_011186824.1 Bdor|XP_011207861.1 Bole|XP_014088596.1 Ccap|XP_012163014.1
orth6583: Bcur|XP_011186828.1 Bdor|XP_011200241.1 Bole|XP_014100167.1 Ccap|XP_004525614.1
orth6584: Bcur|XP_011186829.1 Bdor|XP_011200240.1 Bole|XP_014096847.1 Ccap|XP_004525615.1
orth6585: Bcur|XP_011186830.1 Bdor|XP_011201269.1 Bole|XP_014099275.1 Ccap|XP_004525616.1
orth6586: Bcur|XP_011186833.1 Bdor|XP_011199471.1 Bole|XP_014100068.1 Ccap|XP_004537973.1
orth6587: Bcur|XP_011186834.1 Bdor|XP_011201271.1 Bole|XP_014091745.1 Ccap|XP_004525618.1
orth7369: Bcur|XP_011188523.1 Bdor|XP_011206584.1 Bole|XP_014092079.1 Ccap|XP_004517571.1
orth7368: Bcur|XP_011188522.1 Bdor|XP_011206586.1 Bole|XP_014092086.1 Ccap|XP_004517574.1
orth7367: Bcur|XP_011188520.1 Bdor|XP_011206589.1 Bole|XP_014092082.1 Ccap|XP_004517577.1
orth7366: Bcur|XP_011188518.1 Bdor|XP_011206591.1 Bole|XP_014092081.1 Ccap|XP_004517582.1
orth7365: Bcur|XP_011188517.1 Bdor|XP_011201234.1 Bole|XP_014093406.1 Ccap|XP_004522211.1
orth7364: Bcur|XP_011188516.1 Bdor|XP_011206592.1 Bole|XP_014092065.1 Ccap|XP_004517583.1
orth7363: Bcur|XP_011188508.1 Bdor|XP_011206593.1 Bole|XP_014092112.1 Ccap|XP_004517584.2
orth7362: Bcur|XP_011188505.1 Bdor|XP_011206602.1 Bole|XP_014092113.1 Ccap|XP_004517843.1
orth7361: Bcur|XP_011188504.1 Bdor|XP_011206601.1 Bole|XP_014092114.1 Ccap|XP_004517586.1
orth7360: Bcur|XP_011188502.1 Bdor|XP_011206604.1 Bole|XP_014092115.1 Ccap|XP_004517587.1
orth7581: Bcur|XP_011188969.1 Bdor|XP_011212081.1 Bole|XP_014093577.1 Ccap|XP_004530488.1
orth7016: Bcur|XP_011187784.1 Bdor|XP_011200542.1 Bole|XP_014097223.1 Ccap|XP_004535301.1
orth7183: Bcur|XP_011188160.1 Bdor|XP_011207663.1 Bole|XP_014098660.1 Ccap|XP_004529134.1
orth7182: Bcur|XP_011188158.1 Bdor|XP_011202422.1 Bole|XP_014098253.1 Ccap|XP_004529135.1
orth7181: Bcur|XP_011188152.1 Bdor|XP_011198613.1 Bole|XP_014098718.1 Ccap|XP_004529138.1
orth7180: Bcur|XP_011188151.1 Bdor|XP_011204492.1 Bole|XP_014096710.1 Ccap|XP_004529140.1
orth7187: Bcur|XP_011188170.1 Bdor|XP_011204422.1 Bole|XP_014096595.1 Ccap|XP_004524255.1
orth7186: Bcur|XP_011188169.1 Bdor|XP_011202241.1 Bole|XP_014097261.1 Ccap|XP_004524239.1
orth7185: Bcur|XP_011188167.1 Bdor|XP_011204411.1 Bole|XP_014097382.1 Ccap|XP_004524250.1
orth7184: Bcur|XP_011188163.1 Bdor|XP_011207649.1 Bole|XP_014098795.1 Ccap|XP_012156605.1
orth7189: Bcur|XP_011188174.1 Bdor|XP_011210568.1 Bole|XP_014098534.1 Ccap|XP_004524247.1
orth7188: Bcur|XP_011188173.1 Bdor|XP_011200659.1 Bole|XP_014098158.1 Ccap|XP_004524249.1
orth7580: Bcur|XP_011188968.1 Bdor|XP_011212080.1 Bole|XP_014093557.1 Ccap|XP_004530489.1
orth3958: Bcur|XP_011180726.1 Bdor|XP_011211065.1 Bole|XP_014100502.1 Ccap|XP_004519951.1
orth3959: Bcur|XP_011180728.1 Bdor|XP_011211062.1 Bole|XP_014098586.1 Ccap|XP_012156797.1
orth7989: Bcur|XP_011189794.1 Bdor|XP_011200940.1 Bole|XP_014088609.1 Ccap|XP_004520258.1
orth7988: Bcur|XP_011189793.1 Bdor|XP_011200941.1 Bole|XP_014088602.1 Ccap|XP_004520332.1
orth3753: Bcur|XP_011180318.1 Bdor|XP_011198986.1 Bole|XP_014087397.1 Ccap|XP_004531427.1
orth3950: Bcur|XP_011180707.1 Bdor|XP_011200885.1 Bole|XP_014099098.1 Ccap|XP_004519930.1
orth3951: Bcur|XP_011180709.1 Bdor|XP_011209682.1 Bole|XP_014099097.1 Ccap|XP_004519931.1
orth3952: Bcur|XP_011180710.1 Bdor|XP_011209694.1 Bole|XP_014099095.1 Ccap|XP_004519944.1
orth3953: Bcur|XP_011180711.1 Bdor|XP_011209707.1 Bole|XP_014099099.1 Ccap|XP_004519933.1
orth3954: Bcur|XP_011180717.1 Bdor|XP_011209793.1 Bole|XP_014099993.1 Ccap|XP_004519935.1
orth3955: Bcur|XP_011180718.1 Bdor|XP_011211069.1 Bole|XP_014098741.1 Ccap|XP_004519936.1
orth3956: Bcur|XP_011180719.1 Bdor|XP_011211066.1 Bole|XP_014099326.1 Ccap|XP_004519948.1
orth3957: Bcur|XP_011180720.1 Bdor|XP_011199429.1 Bole|XP_014097865.1 Ccap|XP_004530791.1
orth4322: Bcur|XP_011181557.1 Bdor|XP_011205518.1 Bole|XP_014094840.1 Ccap|XP_012160151.1
orth4323: Bcur|XP_011181558.1 Bdor|XP_011205516.1 Bole|XP_014096128.1 Ccap|XP_012160153.1
orth4320: Bcur|XP_011181549.1 Bdor|XP_011205524.1 Bole|XP_014094844.1 Ccap|XP_004533510.1
orth4321: Bcur|XP_011181552.1 Bdor|XP_011205519.1 Bole|XP_014094847.1 Ccap|XP_012160148.1
orth4326: Bcur|XP_011181566.1 Bdor|XP_011205512.1 Bole|XP_014096130.1 Ccap|XP_004533517.1
orth4327: Bcur|XP_011181567.1 Bdor|XP_011205511.1 Bole|XP_014096129.1 Ccap|XP_004533518.1
orth4988: Bcur|XP_011183039.1 Bdor|XP_011203699.1 Bole|XP_014094927.1 Ccap|XP_004526822.1
orth4989: Bcur|XP_011183044.1 Bdor|XP_011197430.1 Bole|XP_014092635.1 Ccap|XP_012157600.1
orth4986: Bcur|XP_011183031.1 Bdor|XP_011198757.1 Bole|XP_014095044.1 Ccap|XP_004526016.1
orth4987: Bcur|XP_011183032.1 Bdor|XP_011198748.1 Bole|XP_014095051.1 Ccap|XP_012157584.1
orth4984: Bcur|XP_011183027.1 Bdor|XP_011203689.1 Bole|XP_014095896.1 Ccap|XP_012157999.1
orth4985: Bcur|XP_011183030.1 Bdor|XP_011198753.1 Bole|XP_014095073.1 Ccap|XP_004526017.1
orth4982: Bcur|XP_011183014.1 Bdor|XP_011198758.1 Bole|XP_014095065.1 Ccap|XP_004526015.1
orth4983: Bcur|XP_011183018.1 Bdor|XP_011198762.1 Bole|XP_014095060.1 Ccap|XP_012157580.1
orth4980: Bcur|XP_011183008.1 Bdor|XP_011198743.1 Bole|XP_014095069.1 Ccap|XP_012157588.1
orth4981: Bcur|XP_011183011.1 Bdor|XP_011198747.1 Bole|XP_014095057.1 Ccap|XP_012157586.1
orth5053: Bcur|XP_011183184.1 Bdor|XP_011212674.1 Bole|XP_014094451.1 Ccap|XP_004526815.1
orth5054: Bcur|XP_011183185.1 Bdor|XP_011209395.1 Bole|XP_014089664.1 Ccap|XP_004531161.1
orth9498: Bcur|XP_011193107.1 Bdor|XP_011202415.1 Bole|XP_014100704.1 Ccap|XP_004526095.1
orth8380: Bcur|XP_011190638.1 Bdor|XP_011207296.1 Bole|XP_014092292.1 Ccap|XP_004522589.1
orth8381: Bcur|XP_011190644.1 Bdor|XP_011207302.1 Bole|XP_014092297.1 Ccap|XP_004522587.1
orth8382: Bcur|XP_011190646.1 Bdor|XP_011207301.1 Bole|XP_014092295.1 Ccap|XP_004522586.1
orth8383: Bcur|XP_011190647.1 Bdor|XP_011207303.1 Bole|XP_014092311.1 Ccap|XP_004522584.1
orth8384: Bcur|XP_011190648.1 Bdor|XP_011207306.1 Bole|XP_014092321.1 Ccap|XP_012155770.1
orth8385: Bcur|XP_011190650.1 Bdor|XP_011207308.1 Bole|XP_014092259.1 Ccap|XP_004522581.1
orth8386: Bcur|XP_011190651.1 Bdor|XP_011207309.1 Bole|XP_014092265.1 Ccap|XP_004522580.1
orth8387: Bcur|XP_011190652.1 Bdor|XP_011207310.1 Bole|XP_014092271.1 Ccap|XP_004522576.1
orth8388: Bcur|XP_011190657.1 Bdor|XP_011207311.1 Bole|XP_014092276.1 Ccap|XP_004522574.1
orth8389: Bcur|XP_011190658.1 Bdor|XP_011207312.1 Bole|XP_014092275.1 Ccap|XP_004522710.1
orth4186: Bcur|XP_011181245.1 Bdor|XP_011212178.1 Bole|XP_014095514.1 Ccap|XP_004522746.1
orth4187: Bcur|XP_011181249.1 Bdor|XP_011212451.1 Bole|XP_014097592.1 Ccap|XP_012160596.1
orth4184: Bcur|XP_011181235.1 Bdor|XP_011212181.1 Bole|XP_014095520.1 Ccap|XP_012155860.1
orth4185: Bcur|XP_011181237.1 Bdor|XP_011205711.1 Bole|XP_014096491.1 Ccap|XP_004518665.1
orth4182: Bcur|XP_011181233.1 Bdor|XP_011212184.1 Bole|XP_014095512.1 Ccap|XP_012154876.1
orth4183: Bcur|XP_011181234.1 Bdor|XP_011212183.1 Bole|XP_014095516.1 Ccap|XP_004522743.1
orth4180: Bcur|XP_011181222.1 Bdor|XP_011212192.1 Bole|XP_014095524.1 Ccap|XP_004520871.1
orth4181: Bcur|XP_011181224.1 Bdor|XP_011212186.1 Bole|XP_014095517.1 Ccap|XP_004520868.1
orth4188: Bcur|XP_011181250.1 Bdor|XP_011212449.1 Bole|XP_014097595.1 Ccap|XP_012160595.1
orth4189: Bcur|XP_011181252.1 Bdor|XP_011212450.1 Bole|XP_014097594.1 Ccap|XP_004534469.1
orth5277: Bcur|XP_011183781.1 Bdor|XP_011210957.1 Bole|XP_014093150.1 Ccap|XP_004526926.1
orth5276: Bcur|XP_011183779.1 Bdor|XP_011213338.1 Bole|XP_014093151.1 Ccap|XP_004526924.1
orth5275: Bcur|XP_011183778.1 Bdor|XP_011211082.1 Bole|XP_014093532.1 Ccap|XP_012158073.1
orth5274: Bcur|XP_011183777.1 Bdor|XP_011210956.1 Bole|XP_014093551.1 Ccap|XP_004526921.1
orth5273: Bcur|XP_011183774.1 Bdor|XP_011210953.1 Bole|XP_014093539.1 Ccap|XP_004526917.1
orth5272: Bcur|XP_011183773.1 Bdor|XP_011210951.1 Bole|XP_014093545.1 Ccap|XP_004526916.1
orth5271: Bcur|XP_011183772.1 Bdor|XP_011210950.1 Bole|XP_014093543.1 Ccap|XP_004526915.1
orth5270: Bcur|XP_011183764.1 Bdor|XP_011210944.1 Bole|XP_014093533.1 Ccap|XP_004526913.1
orth7347: Bcur|XP_011188471.1 Bdor|XP_011204180.1 Bole|XP_014092108.1 Ccap|XP_004517607.1
orth5279: Bcur|XP_011183787.1 Bdor|XP_011212964.1 Bole|XP_014093180.1 Ccap|XP_004523781.1
orth5278: Bcur|XP_011183784.1 Bdor|XP_011212974.1 Bole|XP_014093184.1 Ccap|XP_004526927.1
orth7346: Bcur|XP_011188470.1 Bdor|XP_011204181.1 Bole|XP_014092099.1 Ccap|XP_004517608.1
orth7341: Bcur|XP_011188463.1 Bdor|XP_011204187.1 Bole|XP_014091200.1 Ccap|XP_012163018.1
orth7340: Bcur|XP_011188444.1 Bdor|XP_011204198.1 Bole|XP_014091209.1 Ccap|XP_012163027.1
orth8215: Bcur|XP_011190266.1 Bdor|XP_011200591.1 Bole|XP_014090958.1 Ccap|XP_004537700.1
orth7343: Bcur|XP_011188465.1 Bdor|XP_011204340.1 Bole|XP_014092070.1 Ccap|XP_004517609.1
orth7342: Bcur|XP_011188464.1 Bdor|XP_011201230.1 Bole|XP_014093397.1 Ccap|XP_004522208.1
orth9389: Bcur|XP_011192866.1 Bdor|XP_011200356.1 Bole|XP_014100171.1 Ccap|XP_004521597.1
orth9388: Bcur|XP_011192864.1 Bdor|XP_011200326.1 Bole|XP_014098615.1 Ccap|XP_012155204.1
orth9383: Bcur|XP_011192844.1 Bdor|XP_011200333.1 Bole|XP_014099794.1 Ccap|XP_004521481.1
orth9382: Bcur|XP_011192842.1 Bdor|XP_011200334.1 Bole|XP_014099795.1 Ccap|XP_012155191.1
orth9381: Bcur|XP_011192841.1 Bdor|XP_011200330.1 Bole|XP_014099633.1 Ccap|XP_012155186.1
orth9380: Bcur|XP_011192831.1 Bdor|XP_011204069.1 Bole|XP_014100224.1 Ccap|XP_012155107.1
orth9387: Bcur|XP_011192859.1 Bdor|XP_011200324.1 Bole|XP_014100617.1 Ccap|XP_004521495.1
orth7439: Bcur|XP_011188659.1 Bdor|XP_011206045.1 Bole|XP_014099595.1 Ccap|XP_012154861.1
orth9385: Bcur|XP_011192847.1 Bdor|XP_011200328.1 Bole|XP_014098613.1 Ccap|XP_012155201.1
orth9384: Bcur|XP_011192846.1 Bdor|XP_011200327.1 Bole|XP_014098620.1 Ccap|XP_004521489.1
orth7438: Bcur|XP_011188658.1 Bdor|XP_011206057.1 Bole|XP_014099704.1 Ccap|XP_012154722.1
orth2584: Bcur|XP_011177750.1 Bdor|XP_011214740.1 Bole|XP_014098154.1 Ccap|XP_004531027.1
orth2585: Bcur|XP_011177753.1 Bdor|XP_011214738.1 Bole|XP_014098159.1 Ccap|XP_004531031.1
orth2586: Bcur|XP_011177754.1 Bdor|XP_011214737.1 Bole|XP_014098160.1 Ccap|XP_004531030.1
orth2587: Bcur|XP_011177755.1 Bdor|XP_011214736.1 Bole|XP_014098161.1 Ccap|XP_004531032.1
orth2580: Bcur|XP_011177745.1 Bdor|XP_011214746.1 Bole|XP_014098164.1 Ccap|XP_004531024.1
orth2581: Bcur|XP_011177746.1 Bdor|XP_011214745.1 Bole|XP_014098150.1 Ccap|XP_004531025.1
orth2582: Bcur|XP_011177747.1 Bdor|XP_011214743.1 Bole|XP_014098151.1 Ccap|XP_012159534.1
orth2583: Bcur|XP_011177749.1 Bdor|XP_011214739.1 Bole|XP_014098156.1 Ccap|XP_004531029.1
orth2588: Bcur|XP_011177756.1 Bdor|XP_011214734.1 Bole|XP_014095977.1 Ccap|XP_012159536.1
orth2589: Bcur|XP_011177762.1 Bdor|XP_011214752.1 Bole|XP_014095980.1 Ccap|XP_012159537.1
orth10027: Bcur|XP_011194522.1 Bdor|XP_011199703.1 Bole|XP_014087927.1 Ccap|XP_012162949.1
orth10026: Bcur|XP_011194521.1 Bdor|XP_011199695.1 Bole|XP_014087914.1 Ccap|XP_004520018.1
orth10025: Bcur|XP_011194518.1 Bdor|XP_011202827.1 Bole|XP_014086801.1 Ccap|XP_004523186.1
orth10024: Bcur|XP_011194517.1 Bdor|XP_011205947.1 Bole|XP_014094145.1 Ccap|XP_004534862.1
orth10023: Bcur|XP_011194515.1 Bdor|XP_011203560.1 Bole|XP_014092603.1 Ccap|XP_004529393.1
orth10022: Bcur|XP_011194514.1 Bdor|XP_011203565.1 Bole|XP_014092616.1 Ccap|XP_004529378.1
orth10021: Bcur|XP_011194513.1 Bdor|XP_011203566.1 Bole|XP_014092618.1 Ccap|XP_004529391.1
orth10020: Bcur|XP_011194512.1 Bdor|XP_011203568.1 Bole|XP_014092617.1 Ccap|XP_004529380.1
orth8318: Bcur|XP_011190503.1 Bdor|XP_011214213.1 Bole|XP_014103160.1 Ccap|XP_004518562.1
orth10029: Bcur|XP_011194535.1 Bdor|XP_011202821.1 Bole|XP_014086793.1 Ccap|XP_004523187.1
orth10028: Bcur|XP_011194523.1 Bdor|XP_011199694.1 Bole|XP_014087922.1 Ccap|XP_012162856.1
orth5589: Bcur|XP_011184541.1 Bdor|XP_011206236.1 Bole|XP_014090199.1 Ccap|XP_012160757.1
orth5588: Bcur|XP_011184540.1 Bdor|XP_011206096.1 Bole|XP_014090200.1 Ccap|XP_004534731.1
orth9033: Bcur|XP_011191975.1 Bdor|XP_011199395.1 Bole|XP_014092633.1 Ccap|XP_004533269.1
orth9032: Bcur|XP_011191971.1 Bdor|XP_011199398.1 Bole|XP_014094644.1 Ccap|XP_012160002.1
orth9035: Bcur|XP_011191978.1 Bdor|XP_011204164.1 Bole|XP_014086231.1 Ccap|XP_012159979.1
orth9034: Bcur|XP_011191977.1 Bdor|XP_011199394.1 Bole|XP_014092627.1 Ccap|XP_004533268.1
orth9037: Bcur|XP_011191982.1 Bdor|XP_011214646.1 Bole|XP_014101266.1 Ccap|XP_012158159.1
orth9036: Bcur|XP_011191980.1 Bdor|XP_011199393.1 Bole|XP_014092630.1 Ccap|XP_004533892.1
orth5581: Bcur|XP_011184508.1 Bdor|XP_011206075.1 Bole|XP_014090300.1 Ccap|XP_012160747.1
orth5580: Bcur|XP_011184499.1 Bdor|XP_011211024.1 Bole|XP_014099191.1 Ccap|XP_004526729.1
orth5583: Bcur|XP_011184525.1 Bdor|XP_011206086.1 Bole|XP_014090195.1 Ccap|XP_012160752.1
orth5582: Bcur|XP_011184516.1 Bdor|XP_011206082.1 Bole|XP_014090342.1 Ccap|XP_004534720.1
orth5585: Bcur|XP_011184529.1 Bdor|XP_011206090.1 Bole|XP_014090273.1 Ccap|XP_012160754.1
orth5584: Bcur|XP_011184528.1 Bdor|XP_011206235.1 Bole|XP_014090234.1 Ccap|XP_012160753.1
orth5587: Bcur|XP_011184538.1 Bdor|XP_011206092.1 Bole|XP_014090274.1 Ccap|XP_004534727.1
orth5586: Bcur|XP_011184535.1 Bdor|XP_011206093.1 Bole|XP_014090268.1 Ccap|XP_012160756.1
orth2728: Bcur|XP_011178098.1 Bdor|XP_011210453.1 Bole|XP_014090666.1 Ccap|XP_004521206.1
orth2729: Bcur|XP_011178099.1 Bdor|XP_011210454.1 Bole|XP_014090674.1 Ccap|XP_004521207.1
orth2058: Bcur|XP_011176633.1 Bdor|XP_011213748.1 Bole|XP_014100492.1 Ccap|XP_004531495.1
orth2059: Bcur|XP_011176643.1 Bdor|XP_011208038.1 Bole|XP_014089309.1 Ccap|XP_012155649.1
orth2720: Bcur|XP_011177820.1 Bdor|XP_011199742.1 Bole|XP_014092351.1 Ccap|XP_012159528.1
orth2721: Bcur|XP_011177849.1 Bdor|XP_011208890.1 Bole|XP_014103562.1 Ccap|XP_004537548.1
orth2722: Bcur|XP_011177966.1 Bdor|XP_011203389.1 Bole|XP_014102746.1 Ccap|XP_012154870.1
orth2723: Bcur|XP_011178092.1 Bdor|XP_011210447.1 Bole|XP_014090683.1 Ccap|XP_004521200.1
orth2724: Bcur|XP_011178093.1 Bdor|XP_011210450.1 Bole|XP_014090662.1 Ccap|XP_004521202.1
orth2725: Bcur|XP_011178094.1 Bdor|XP_011210448.1 Bole|XP_014090687.1 Ccap|XP_004521201.1
orth2726: Bcur|XP_011178096.1 Bdor|XP_011210451.1 Bole|XP_014090707.1 Ccap|XP_004521203.1
orth2727: Bcur|XP_011178097.1 Bdor|XP_011210452.1 Bole|XP_014090672.1 Ccap|XP_004521205.1
orth9250: Bcur|XP_011192519.1 Bdor|XP_011209542.1 Bole|XP_014100611.1 Ccap|XP_004518200.1
orth3856: Bcur|XP_011180518.1 Bdor|XP_011201148.1 Bole|XP_014085179.1 Ccap|XP_004529861.1
orth8818: Bcur|XP_011191490.1 Bdor|XP_011210728.1 Bole|XP_014097531.1 Ccap|XP_004521868.1
orth8819: Bcur|XP_011191492.1 Bdor|XP_011210727.1 Bole|XP_014097532.1 Ccap|XP_004521867.1
orth8548: Bcur|XP_011190978.1 Bdor|XP_011197816.1 Bole|XP_014087493.1 Ccap|XP_012160313.1
orth8549: Bcur|XP_011190979.1 Bdor|XP_011197258.1 Bole|XP_014088307.1 Ccap|XP_004533885.1
orth8542: Bcur|XP_011190960.1 Bdor|XP_011209503.1 Bole|XP_014085537.1 Ccap|XP_004519642.1
orth8543: Bcur|XP_011190961.1 Bdor|XP_011209500.1 Bole|XP_014085538.1 Ccap|XP_004519644.1
orth8540: Bcur|XP_011190958.1 Bdor|XP_011209505.1 Bole|XP_014085484.1 Ccap|XP_004518001.1
orth8541: Bcur|XP_011190959.1 Bdor|XP_011209502.1 Bole|XP_014085539.1 Ccap|XP_004519643.1
orth3851: Bcur|XP_011180509.1 Bdor|XP_011201141.1 Bole|XP_014085192.1 Ccap|XP_004529871.1
orth8547: Bcur|XP_011190971.1 Bdor|XP_011197823.1 Bole|XP_014087480.1 Ccap|XP_004533270.1
orth8544: Bcur|XP_011190967.1 Bdor|XP_011197832.1 Bole|XP_014086517.1 Ccap|XP_012159802.1
orth8545: Bcur|XP_011190969.1 Bdor|XP_011197825.1 Bole|XP_014086358.1 Ccap|XP_004531192.1
orth6773: Bcur|XP_011187225.1 Bdor|XP_011214298.1 Bole|XP_014094400.1 Ccap|XP_012155560.1
orth6772: Bcur|XP_011187219.1 Bdor|XP_011198811.1 Bole|XP_014100435.1 Ccap|XP_004525028.1
orth6771: Bcur|XP_011187218.1 Bdor|XP_011198813.1 Bole|XP_014096694.1 Ccap|XP_004525027.1
orth6770: Bcur|XP_011187216.1 Bdor|XP_011198815.1 Bole|XP_014096696.1 Ccap|XP_004525024.1
orth6777: Bcur|XP_011187246.1 Bdor|XP_011211346.1 Bole|XP_014090132.1 Ccap|XP_012157066.1
orth6776: Bcur|XP_011187239.1 Bdor|XP_011211373.1 Bole|XP_014090156.1 Ccap|XP_004525139.2
orth6775: Bcur|XP_011187237.1 Bdor|XP_011214299.1 Bole|XP_014094401.1 Ccap|XP_004522134.1
orth6774: Bcur|XP_011187228.1 Bdor|XP_011198806.1 Bole|XP_014097743.1 Ccap|XP_004525032.1
orth3850: Bcur|XP_011180508.1 Bdor|XP_011201140.1 Bole|XP_014100395.1 Ccap|XP_004529872.1
orth6778: Bcur|XP_011187247.1 Bdor|XP_011211335.1 Bole|XP_014090179.1 Ccap|XP_004525037.1
orth6809: Bcur|XP_011187328.1 Bdor|XP_011198962.1 Bole|XP_014087539.1 Ccap|XP_004520621.1
orth6808: Bcur|XP_011187324.1 Bdor|XP_011198964.1 Bole|XP_014087525.1 Ccap|XP_004520622.1
orth3723: Bcur|XP_011180254.1 Bdor|XP_011199046.1 Bole|XP_014090495.1 Ccap|XP_004531388.1
