orth2333: Afra|m.10026 Aobl|m.12854 Asus|M.10026_R0 Bcor|m.49852 Bcur|XP_011176775.1 Bdor|XP_011207020.1 Bjar|m.26921 Blat|m.41225 Bmin|m.16652 Bole|XP_014097011.1 Btry|M.41225_R0 Bzon|m.21935 Ccap|XP_004523616.1
orth4049: Afra|m.23598 Aobl|m.11475 Asus|M.23598_R0 Bcor|m.31190 Bcur|XP_011186090.1 Bdor|XP_011204676.1 Blat|m.27718 Bmin|m.3674 Bole|XP_014099183.1 Btry|M.27718_R0 Bzon|m.52587 Ccap|XP_004525700.1
orth4050: Afra|m.23635 Aobl|m.5941 Asus|M.23635_R0 Bcor|m.17674 Bcur|XP_011193869.1 Bdor|XP_011213373.1 Bjar|m.4243 Blat|m.52999 Bmin|m.23193 Bole|XP_014097375.1 Bzon|m.52322 Ccap|XP_004536769.1
orth4051: Afra|m.23643 Asus|M.23643_R0 Bcor|m.24365 Bcur|XP_011193648.1 Bdor|XP_011202390.1 Bjar|m.2660 Blat|m.60335 Bmin|m.5645 Bole|XP_014102456.1 Btry|M.60335_R0 Ccap|XP_004523966.1 Bzon|m.1796
orth4052: Afra|m.23645 Aobl|m.19640 Asus|M.23645_R0 Bcor|m.49411 Bcur|XP_011178908.1 Bdor|XP_011198158.1 Blat|m.54990 Bmin|m.12849 Bole|XP_014092331.1 Btry|M.54990_R0 Bzon|m.12021 Ccap|XP_004529606.1
orth4053: Afra|m.23692 Asus|M.23692_R0 Bcor|m.33015 Bcur|XP_011176674.1 Bdor|XP_011197503.1 Bjar|m.4893 Blat|m.56746 Bmin|m.12390 Bole|XP_014100636.1 Btry|M.56746_R0 Bzon|m.14723 Ccap|XP_004527267.1
orth4054: Afra|m.23698 Aobl|m.7029 Asus|M.23698_R0 Bcor|m.27425 Bcur|XP_011180324.1 Bdor|XP_011198979.1 Blat|m.26110 Bmin|m.12468 Bole|XP_014087323.1 Btry|M.26110_R0 Bzon|m.42164 Ccap|XP_004531433.1
orth4055: Afra|m.23733 Asus|M.23733_R0 Bcor|m.5746 Bcur|XP_011191821.1 Bdor|XP_011212894.1 Bjar|m.18591 Blat|m.47131 Bmin|m.13764 Bole|XP_014086178.1 Btry|M.47131_R0 Bzon|m.51401 Ccap|XP_004533211.1
orth4056: Afra|m.23753 Aobl|m.14002 Asus|M.23746_R0 Bcor|m.31521 Bcur|XP_011193587.1 Bdor|XP_011200980.1 Bjar|m.4585 Blat|m.26414 Bmin|m.13450 Bole|XP_014099338.1 Btry|M.26411_R0 Ccap|XP_012160823.1
orth4057: Afra|m.23759 Aobl|m.22358 Asus|M.23756_R0 Bcor|m.22976 Bcur|XP_011184417.1 Bdor|XP_011205997.1 Blat|m.769 Bmin|m.13075 Bole|XP_014091967.1 Btry|M.763_R0 Bzon|m.7303 Ccap|XP_004534648.1
orth4058: Afra|m.23769 Aobl|m.11308 Asus|M.23769_R0 Bcor|m.13642 Bcur|XP_011177729.1 Bdor|XP_011199709.1 Blat|m.9779 Bmin|m.15167 Bole|XP_014092378.1 Btry|M.9779_R0 Bzon|m.981 Ccap|XP_004531015.1
orth4060: Afra|m.2390 Asus|M.2390_R0 Bcor|m.47837 Bcur|XP_011182959.1 Bdor|XP_011197419.1 Bjar|m.26498 Blat|m.56810 Bmin|m.6494 Bole|XP_014092650.1 Btry|M.56810_R0 Bzon|m.10305 Ccap|XP_004526052.1
orth4061: Afra|m.2394 Aobl|m.7197 Asus|M.2394_R0 Bcor|m.10913 Bcur|XP_011189655.1 Bdor|XP_011212026.1 Blat|m.37933 Bmin|m.9077 Bole|XP_014091842.1 Btry|M.37933_R0 Bzon|m.14940 Ccap|XP_004530428.1
orth4062: Afra|m.23945 Aobl|m.12504 Asus|M.23945_R0 Bcor|m.9818 Bcur|XP_011192114.1 Bdor|XP_011202365.1 Blat|m.19569 Bmin|m.9468 Bole|XP_014102329.1 Btry|M.19569_R0 Bzon|m.53743 Ccap|XP_004523982.1
orth4063: Afra|m.23946 Asus|M.23946_R0 Bcor|m.22674 Bcur|XP_011181989.1 Bdor|XP_011198719.1 Bjar|m.15742 Blat|m.40538 Bmin|m.6560 Bole|XP_014089016.1 Btry|M.40538_R0 Bzon|m.53030 Ccap|XP_004536450.1
orth4064: Afra|m.2395 Aobl|m.16697 Asus|M.2395_R0 Bcor|m.1157 Bcur|XP_011194975.1 Bdor|XP_011199211.1 Bjar|m.11796 Blat|m.53029 Bole|XP_014096952.1 Btry|M.53029_R0 Bzon|m.35962 Ccap|XP_004519383.1
orth4065: Afra|m.23958 Aobl|m.12009 Asus|M.23958_R0 Bcor|m.32418 Bcur|XP_011177802.1 Bdor|XP_011214184.1 Blat|m.15438 Bmin|m.9697 Bole|XP_014092148.1 Btry|M.15438_R0 Bzon|m.13965 Ccap|XP_004531055.1
orth4066: Afra|m.23983 Aobl|m.7169 Asus|M.23983_R0 Bcor|m.1490 Bcur|XP_011188052.1 Bdor|XP_011207035.1 Bjar|m.20635 Blat|m.17784 Bole|XP_014096891.1 Btry|M.17784_R0 Bzon|m.21171 Ccap|XP_004529185.1
orth4067: Afra|m.23987 Asus|M.23987_R0 Bcor|m.47860 Bcur|XP_011181697.1 Bdor|XP_011201521.1 Bjar|m.5604 Blat|m.16242 Bmin|m.5498 Bole|XP_014096975.1 Btry|M.16242_R0 Bzon|m.4832 Ccap|XP_004527408.1
orth4068: Afra|m.23991 Aobl|m.6693 Asus|M.23991_R0 Bcor|m.23167 Bcur|XP_011190991.1 Bdor|XP_011197246.1 Blat|m.42339 Bmin|m.10066 Bole|XP_014087860.1 Btry|M.42339_R0 Bzon|m.18467 Ccap|XP_004533876.1
orth4069: Afra|m.24001 Asus|M.24001_R0 Bcor|m.17101 Bcur|XP_011184792.1 Bdor|XP_011198418.1 Bjar|m.8516 Blat|m.11329 Bmin|m.2885 Bole|XP_014097697.1 Btry|M.11329_R0 Bzon|m.35509 Ccap|XP_004529279.1
orth4070: Afra|m.2404 Aobl|m.4294 Asus|M.2404_R0 Bcor|m.4918 Bcur|XP_011187368.1 Bdor|XP_011213637.1 Blat|m.20701 Bmin|m.17599 Bole|XP_014089582.1 Btry|M.20701_R0 Bzon|m.40572 Ccap|XP_004524822.1
orth4071: Afra|m.24049 Asus|M.24049_R0 Bcor|m.3137 Bcur|XP_011190701.1 Bdor|XP_011197809.1 Bjar|m.15506 Blat|m.8050 Bmin|m.25042 Bole|XP_014089810.1 Btry|M.8050_R0 Bzon|m.33772 Ccap|XP_012156589.1
orth4072: Afra|m.24154 Asus|M.24154_R0 Bcor|m.46502 Bcur|XP_011181136.1 Bdor|XP_011212272.1 Bjar|m.15758 Blat|m.56812 Bmin|m.17661 Bole|XP_014101141.1 Btry|M.56812_R0 Bzon|m.55190 Ccap|XP_004534405.1
orth4073: Afra|m.24170 Asus|M.24170_R0 Bcor|m.39090 Bcur|XP_011183273.1 Bdor|XP_011213164.1 Bjar|m.20646 Blat|m.30208 Bmin|m.16294 Bole|XP_014102543.1 Btry|M.30208_R0 Bzon|m.24431 Ccap|XP_012160700.1
orth4075: Afra|m.24299 Aobl|m.26976 Asus|M.24299_R0 Bcor|m.36375 Bcur|XP_011185724.1 Bdor|XP_011210555.1 Bjar|m.19747 Blat|m.48917 Bole|XP_014092983.1 Btry|M.48917_R0 Bzon|m.36506 Ccap|XP_004521741.1
orth4077: Afra|m.24354 Aobl|m.22738 Bcor|m.31151 Bcur|XP_011182554.1 Bdor|XP_011202679.1 Bjar|m.22551 Blat|m.7937 Bmin|m.15339 Bole|XP_014092426.1 Btry|M.7937_R0 Bzon|m.50939 Ccap|XP_004534147.1
orth4078: Afra|m.24367 Aobl|m.21544 Asus|M.24367_R0 Bcor|m.47052 Bcur|XP_011197033.1 Bdor|XP_011202991.1 Blat|m.42570 Bmin|m.10957 Bole|XP_014091056.1 Btry|M.42570_R0 Bzon|m.34877 Ccap|XP_004537024.1
orth4079: Afra|m.24370 Asus|M.24370_R0 Bcor|m.7404 Bcur|XP_011185087.1 Bdor|XP_011200424.1 Bjar|m.19883 Blat|m.53467 Bmin|m.12847 Bole|XP_014088417.1 Btry|M.53467_R0 Bzon|m.29993 Ccap|XP_004535122.1
orth4084: Afra|m.24522 Aobl|m.24762 Asus|M.24522_R0 Bcor|m.6003 Bcur|XP_011184761.1 Bdor|XP_011210370.1 Blat|m.20773 Bmin|m.6007 Bole|XP_014097830.1 Btry|M.20773_R0 Bzon|m.8597 Ccap|XP_004530082.1
orth4085: Afra|m.24565 Aobl|m.12990 Asus|M.24565_R0 Bcor|m.27923 Bcur|XP_011190111.1 Bdor|XP_011201752.1 Blat|m.60988 Bmin|m.6536 Bole|XP_014092935.1 Btry|M.60988_R0 Bzon|m.45421 Ccap|XP_004531485.1
orth4087: Afra|m.24585 Asus|M.24585_R0 Bcor|m.40270 Bcur|XP_011178748.1 Bdor|XP_011198062.1 Bjar|m.23061 Blat|m.60614 Bmin|m.4525 Bole|XP_014099469.1 Btry|M.60614_R0 Bzon|m.26655 Ccap|XP_004520531.2
orth4088: Afra|m.24600 Aobl|m.16721 Asus|M.24600_R0 Bcor|m.1906 Bcur|XP_011183673.1 Bdor|XP_011212706.1 Blat|m.28027 Bmin|m.5443 Bole|XP_014089366.1 Btry|M.28027_R0 Bzon|m.29472 Ccap|XP_004526792.1
orth4089: Afra|m.24617 Asus|M.24617_R0 Bcor|m.12328 Bcur|XP_011191975.1 Bdor|XP_011199395.1 Bjar|m.17256 Blat|m.17752 Bmin|m.6983 Bole|XP_014092633.1 Btry|M.17752_R0 Bzon|m.34902 Ccap|XP_004533269.1
orth4091: Afra|m.24623 Asus|M.24623_R0 Bcor|m.51395 Bcur|XP_011190650.1 Bdor|XP_011207308.1 Bjar|m.15872 Blat|m.8682 Bmin|m.7423 Bole|XP_014092259.1 Btry|M.8682_R0 Bzon|m.30521 Ccap|XP_004522581.1
orth4092: Afra|m.24639 Aobl|m.2782 Asus|M.24639_R0 Bcor|m.6613 Bcur|XP_011196447.1 Bdor|XP_011209637.1 Blat|m.4802 Bmin|m.15616 Bole|XP_014085251.1 Btry|M.4806_R0 Bzon|m.38285 Ccap|XP_012155461.1
orth4095: Afra|m.24678 Aobl|m.19279 Asus|M.24678_R0 Bcor|m.33288 Bcur|XP_011190647.1 Bdor|XP_011207303.1 Blat|m.15901 Bmin|m.1649 Bole|XP_014092311.1 Btry|M.15901_R0 Bzon|m.11063 Ccap|XP_004522584.1
orth4096: Afra|m.24688 Asus|M.24688_R0 Bcor|m.31488 Bcur|XP_011196967.1 Bdor|XP_011208313.1 Bjar|m.27062 Blat|m.28885 Bmin|m.7455 Bole|XP_014091081.1 Btry|M.28885_R0 Bzon|m.54718 Ccap|XP_012156526.1
orth4098: Afra|m.24720 Aobl|m.15936 Asus|M.24720_R0 Bcor|m.45685 Bcur|XP_011182491.1 Bdor|XP_011203644.1 Bjar|m.17964 Blat|m.45449 Bole|XP_014100763.1 Btry|M.45449_R0 Bzon|m.55464 Ccap|XP_004533414.1
orth4099: Afra|m.2473 Asus|M.2473_R0 Bcor|m.25093 Bcur|XP_011185632.1 Bdor|XP_011211252.1 Bjar|m.17487 Blat|m.24989 Bmin|m.11288 Bole|XP_014088855.1 Btry|M.24989_R0 Bzon|m.55384 Ccap|XP_004537205.1
orth4100: Afra|m.24802 Aobl|m.27960 Asus|M.24802_R0 Bcor|m.19890 Bcur|XP_011189117.1 Bdor|XP_011198185.1 Bjar|m.14164 Blat|m.62694 Bole|XP_014091846.1 Btry|M.62694_R0 Bzon|m.20183 Ccap|XP_004535542.1
orth4101: Afra|m.24817 Asus|M.24817_R0 Bcor|m.47826 Bcur|XP_011190758.1 Bdor|XP_011199825.1 Bjar|m.2969 Blat|m.45252 Bmin|m.7682 Bole|XP_014088702.1 Btry|M.45252_R0 Bzon|m.40558 Ccap|XP_004533941.1
orth4102: Afra|m.24945 Aobl|m.16186 Asus|M.24945_R0 Bcor|m.13155 Bcur|XP_011178006.1 Bdor|XP_011203348.1 Bjar|m.15527 Blat|m.10648 Bole|XP_014102892.1 Btry|M.10648_R0 Bzon|m.5763 Ccap|XP_012154822.1
orth4103: Afra|m.24963 Aobl|m.22258 Asus|M.24963_R0 Bcor|m.34196 Bcur|XP_011186386.1 Bdor|XP_011199494.1 Bjar|m.18214 Blat|m.41879 Bole|XP_014088354.1 Btry|M.41879_R0 Bzon|m.9568 Ccap|XP_004534092.1
orth4104: Afra|m.24997 Aobl|m.21557 Asus|M.24997_R0 Bcor|m.41041 Bcur|XP_011195488.1 Bdor|XP_011205689.1 Blat|m.2098 Bmin|m.15767 Bole|XP_014095866.1 Btry|M.2098_R0 Bzon|m.16050 Ccap|XP_004522389.1
orth4106: Afra|m.2506 Aobl|m.17334 Asus|M.2506_R0 Bcor|m.46789 Bcur|XP_011185429.1 Bdor|XP_011200016.1 Bjar|m.9782 Blat|m.64796 Bole|XP_014102286.1 Btry|M.64796_R0 Bzon|m.54571 Ccap|XP_004522832.1
orth4107: Afra|m.2508 Aobl|m.10475 Asus|M.2508_R0 Bcor|m.33851 Bcur|XP_011187675.1 Bdor|XP_011198235.1 Blat|m.23842 Bmin|m.7080 Bole|XP_014098707.1 Btry|M.23843_R0 Bzon|m.18023 Ccap|XP_004520013.1
orth4108: Afra|m.25103 Aobl|m.23902 Bcor|m.51324 Bcur|XP_011187450.1 Bdor|XP_011200115.1 Bjar|m.15119 Blat|m.46096 Bmin|m.3677 Bole|XP_014096189.1 Btry|M.46096_R0 Bzon|m.32889 Ccap|XP_012156113.1
orth4110: Afra|m.25124 Asus|M.25124_R0 Bcor|m.5703 Bcur|XP_011191187.1 Bdor|XP_011207338.1 Bjar|m.27015 Blat|m.63394 Bmin|m.9991 Bole|XP_014097599.1 Btry|M.63394_R0 Bzon|m.32957 Ccap|XP_004522543.1
orth4111: Afra|m.2515 Asus|M.2515_R0 Bcor|m.19887 Bcur|XP_011189568.1 Bdor|XP_011213968.1 Bjar|m.19402 Blat|m.64740 Bmin|m.9461 Bole|XP_014091001.1 Btry|M.64740_R0 Bzon|m.6534 Ccap|XP_004536264.1
orth4112: Afra|m.25164 Aobl|m.10670 Asus|M.25164_R0 Bcor|m.8229 Bcur|XP_011186389.1 Bdor|XP_011199497.1 Blat|m.6880 Bmin|m.11844 Bole|XP_014088329.1 Btry|M.6880_R0 Bzon|m.40508 Ccap|XP_004530579.1
orth4115: Afra|m.25315 Aobl|m.26223 Asus|M.25315_R0 Bcor|m.17745 Bcur|XP_011195720.1 Bdor|XP_011213088.1 Blat|m.61571 Bmin|m.22336 Bole|XP_014085141.1 Btry|M.61571_R0 Bzon|m.11548 Ccap|XP_004526939.1
orth4116: Afra|m.25349 Aobl|m.3908 Asus|M.25349_R0 Bcor|m.11874 Bcur|XP_011186999.1 Bdor|XP_011208451.1 Blat|m.50555 Bmin|m.14903 Bole|XP_014094026.1 Btry|M.50555_R0 Bzon|m.51436 Ccap|XP_004525069.1
orth4117: Afra|m.25365 Aobl|m.27604 Asus|M.25365_R0 Bcor|m.49543 Bcur|XP_011185701.1 Bdor|XP_011210527.1 Blat|m.9453 Bmin|m.21881 Bole|XP_014101337.1 Btry|M.9453_R0 Bzon|m.52169 Ccap|XP_004520973.1
orth4118: Afra|m.25385 Asus|M.25385_R0 Bcor|m.18631 Bcur|XP_011182932.1 Bdor|XP_011204833.1 Bjar|m.16397 Blat|m.5974 Bmin|m.19222 Btry|M.5974_R0 Bzon|m.7696 Ccap|XP_012161426.1 Bole|XP_014097905.1
orth4119: Afra|m.2539 Aobl|m.16047 Asus|M.2539_R0 Bcor|m.51792 Bcur|XP_011194355.1 Bdor|XP_011202818.1 Blat|m.47885 Bmin|m.12551 Bole|XP_014086739.1 Btry|M.47885_R0 Bzon|m.35510 Ccap|XP_004523184.1
orth4120: Afra|m.25393 Aobl|m.28508 Asus|M.25393_R0 Bcor|m.43711 Bcur|XP_011178015.1 Bdor|XP_011203355.1 Bjar|m.18537 Blat|m.64319 Bole|XP_014102861.1 Btry|M.64319_R0 Ccap|XP_004520752.1 Bzon|m.26571
orth4121: Afra|m.25449 Aobl|m.23193 Asus|M.25449_R0 Bcor|m.33558 Bcur|XP_011190094.1 Bdor|XP_011197615.1 Bjar|m.20882 Blat|m.22265 Bole|XP_014092586.1 Btry|M.22265_R0 Bzon|m.19470 Ccap|XP_004533783.1
orth4123: Afra|m.25481 Aobl|m.9486 Asus|M.25481_R0 Bcor|m.2600 Bcur|XP_011187786.1 Bdor|XP_011200462.1 Bjar|m.16822 Blat|m.31953 Bole|XP_014100475.1 Btry|M.31953_R0 Bzon|m.39289 Ccap|XP_004522164.1
orth4124: Afra|m.25482 Aobl|m.16337 Asus|M.25482_R0 Bcor|m.21508 Bcur|XP_011179767.1 Bdor|XP_011199683.1 Blat|m.51040 Bmin|m.9643 Bole|XP_014097145.1 Btry|M.51040_R0 Bzon|m.6124 Ccap|XP_004525334.1
orth4125: Afra|m.25505 Aobl|m.18756 Asus|M.25505_R0 Bcor|m.7310 Bcur|XP_011185423.1 Bdor|XP_011200006.1 Bjar|m.17148 Blat|m.63716 Bole|XP_014102263.1 Btry|M.63716_R0 Bzon|m.55974 Ccap|XP_012155887.1
orth4127: Afra|m.25555 Aobl|m.25067 Asus|M.25555_R0 Bcor|m.52218 Bcur|XP_011189477.1 Bdor|XP_011210039.1 Blat|m.51191 Bmin|m.7176 Bole|XP_014103190.1 Btry|M.51191_R0 Bzon|m.44545 Ccap|XP_004531289.1
orth4128: Afra|m.25558 Aobl|m.4995 Asus|M.25558_R0 Bcor|m.4893 Bcur|XP_011177364.1 Bdor|XP_011208452.1 Blat|m.19659 Bmin|m.12748 Bole|XP_014095338.1 Btry|M.19659_R0 Bzon|m.4959 Ccap|XP_012158834.1
orth4129: Afra|m.25573 Aobl|m.14801 Asus|M.25576_R0 Bcor|m.25179 Bcur|XP_011184296.1 Bdor|XP_011198586.1 Blat|m.12380 Bmin|m.17699 Bole|XP_014089738.1 Btry|M.12379_R0 Bzon|m.41231 Ccap|XP_012159327.1
orth4130: Afra|m.25581 Asus|M.25581_R0 Bcor|m.35794 Bcur|XP_011195589.1 Bdor|XP_011205878.1 Bjar|m.21622 Blat|m.1231 Bmin|m.7754 Bole|XP_014103049.1 Btry|M.1231_R0 Bzon|m.33666 Ccap|XP_004527036.1
orth4131: Afra|m.256 Asus|M.256_R0 Bcor|m.21886 Bcur|XP_011190092.1 Bdor|XP_011197613.1 Bjar|m.25096 Blat|m.58852 Bmin|m.17333 Bole|XP_014092589.1 Btry|M.58852_R0 Bzon|m.40569 Ccap|XP_004533785.1
orth4132: Afra|m.25608 Asus|M.25608_R0 Bcor|m.21444 Bcur|XP_011192773.1 Bdor|XP_011204073.1 Bjar|m.12348 Blat|m.38197 Bmin|m.3611 Bole|XP_014099474.1 Btry|M.38197_R0 Bzon|m.33085 Ccap|XP_004521279.1
orth4133: Afra|m.25617 Aobl|m.11342 Asus|M.25617_R0 Bcor|m.42089 Bcur|XP_011184298.1 Bdor|XP_011212749.1 Bjar|m.7232 Blat|m.64044 Bole|XP_014088673.1 Btry|M.64044_R0 Bzon|m.24599 Ccap|XP_004526752.1
orth4134: Afra|m.25630 Aobl|m.9050 Asus|M.25630_R0 Bcor|m.41910 Bcur|XP_011180593.1 Bdor|XP_011208961.1 Blat|m.61140 Bmin|m.10024 Bole|XP_014089466.1 Btry|M.61140_R0 Bzon|m.4980 Ccap|XP_004518965.1
orth4136: Afra|m.25635 Aobl|m.107 Asus|M.25635_R0 Bcor|m.34611 Bcur|XP_011180010.1 Btry|M.5486_R0 Bjar|m.20358 Bole|XP_014095631.1 Bdor|XP_011199126.1 Blat|m.5486 Bzon|m.835 Ccap|XP_012154961.1
orth4137: Afra|m.25641 Asus|M.25641_R0 Bcor|m.37844 Bcur|XP_011177171.1 Bdor|XP_011204401.1 Bjar|m.7945 Blat|m.38710 Bmin|m.11709 Bole|XP_014094375.1 Btry|M.38710_R0 Bzon|m.29370 Ccap|XP_004527343.1
orth4138: Afra|m.25664 Aobl|m.21064 Asus|M.25664_R0 Bcor|m.15265 Bcur|XP_011181474.1 Bdor|XP_011205582.1 Blat|m.46420 Bmin|m.13135 Bole|XP_014102896.1 Btry|M.46420_R0 Bzon|m.10063 Ccap|XP_004533455.1
orth4139: Afra|m.25737 Aobl|m.19446 Asus|M.25737_R0 Bcor|m.9184 Bcur|XP_011183317.1 Bdor|XP_011206280.1 Bjar|m.12801 Blat|m.32464 Bole|XP_014086051.1 Btry|M.32466_R0 Bzon|m.7250 Ccap|XP_012158179.1
orth4140: Afra|m.25760 Aobl|m.27816 Asus|M.25760_R0 Bcor|m.38462 Bcur|XP_011182416.1 Bdor|XP_011198965.1 Blat|m.7953 Bmin|m.3378 Bole|XP_014092211.1 Btry|M.7953_R0 Bzon|m.38863 Ccap|XP_004521048.1
orth4141: Afra|m.25840 Aobl|m.3891 Asus|M.25840_R0 Bcor|m.38519 Bcur|XP_011184441.1 Bdor|XP_011206014.1 Blat|m.20227 Bmin|m.3286 Bole|XP_014091933.1 Btry|M.20227_R0 Bzon|m.20453 Ccap|XP_004534666.1
orth4142: Afra|m.25846 Asus|M.25846_R0 Bcor|m.16606 Bcur|XP_011183183.1 Bdor|XP_011209394.1 Bjar|m.7148 Blat|m.7574 Bmin|m.12312 Bole|XP_014089699.1 Btry|M.7574_R0 Bzon|m.23527 Ccap|XP_004531100.1
orth4143: Afra|m.25847 Aobl|m.12233 Asus|M.25847_R0 Bcor|m.45346 Bcur|XP_011189528.1 Bdor|XP_011208346.1 Bjar|m.2021 Blat|m.14318 Bole|XP_014092709.1 Btry|M.14318_R0 Bzon|m.3515 Ccap|XP_004518256.1
orth4144: Afra|m.25877 Aobl|m.10449 Asus|M.25877_R0 Bcor|m.48483 Bcur|XP_011187606.1 Bdor|XP_011213710.1 Bjar|m.4660 Blat|m.42948 Bole|XP_014097510.1 Btry|M.42948_R0 Bzon|m.10506 Ccap|XP_004536702.1
orth4148: Afra|m.25950 Aobl|m.7243 Asus|M.25949_R0 Bcor|m.21100 Bcur|XP_011176807.1 Bdor|XP_011211897.1 Blat|m.54333 Bmin|m.11914 Bole|XP_014091704.1 Btry|M.54333_R0 Bzon|m.1708 Ccap|XP_004523584.1
orth4149: Afra|m.25961 Aobl|m.5221 Asus|M.25963_R0 Bcor|m.38636 Bcur|XP_011178562.1 Bdor|XP_011207950.1 Blat|m.494 Bmin|m.9275 Bole|XP_014086456.1 Btry|M.494_R0 Bzon|m.21008 Ccap|XP_004530404.1
orth4150: Afra|m.25990 Aobl|m.12870 Asus|M.25990_R0 Bcor|m.47947 Bcur|XP_011185022.1 Bdor|XP_011206680.1 Blat|m.42822 Bmin|m.620 Bole|XP_014098864.1 Btry|M.42822_R0 Bzon|m.4878 Ccap|XP_004529295.1
orth4152: Afra|m.26011 Aobl|m.15349 Asus|M.26011_R0 Bcor|m.31875 Bcur|XP_011184655.1 Bdor|XP_011206213.1 Bjar|m.6388 Blat|m.57190 Bole|XP_014090247.1 Btry|M.57190_R0 Bzon|m.54419 Ccap|XP_012160812.1
orth4153: Afra|m.2603 Asus|M.2603_R0 Bcor|m.2099 Bcur|XP_011188064.1 Bdor|XP_011203158.1 Bjar|m.4927 Blat|m.51541 Bmin|m.5817 Bole|XP_014098686.1 Btry|M.51541_R0 Bzon|m.32628 Ccap|XP_004529172.1
orth4154: Afra|m.26043 Asus|M.26043_R0 Bcor|m.45047 Bcur|XP_011176511.1 Bdor|XP_011208187.1 Bjar|m.17273 Blat|m.45302 Bmin|m.9559 Bole|XP_014097060.1 Btry|M.45302_R0 Bzon|m.56022 Ccap|XP_004537277.1
orth4155: Afra|m.2606 Aobl|m.13728 Asus|M.2606_R0 Bcor|m.23661 Bcur|XP_011181590.1 Bdor|XP_011208377.1 Blat|m.13915 Bmin|m.10571 Bole|XP_014086123.1 Btry|M.13915_R0 Bzon|m.41834 Ccap|XP_004537481.1
orth4156: Afra|m.26149 Aobl|m.5869 Asus|M.26149_R0 Bcor|m.12453 Bcur|XP_011187996.1 Bdor|XP_011214774.1 Blat|m.7389 Bmin|m.12721 Btry|M.7389_R0 Bzon|m.44340 Ccap|XP_004523463.1 Bole|XP_014098630.1
orth4157: Afra|m.26151 Aobl|m.25319 Asus|M.26151_R0 Bcor|m.16862 Bcur|XP_011182354.1 Bdor|XP_011203630.1 Blat|m.4981 Bmin|m.3133 Bole|XP_014091813.1 Btry|M.4981_R0 Bzon|m.39293 Ccap|XP_004533422.1
orth4158: Afra|m.26243 Aobl|m.25300 Asus|M.26243_R0 Bcor|m.41718 Bcur|XP_011177692.1 Bdor|XP_011205190.1 Blat|m.37834 Bmin|m.11049 Bole|XP_014093297.1 Btry|M.37834_R0 Bzon|m.27273 Ccap|XP_004530988.1
orth4159: Afra|m.26244 Aobl|m.16113 Asus|M.26244_R0 Bcor|m.1062 Bcur|XP_011196530.1 Bdor|XP_011209720.1 Blat|m.34089 Bmin|m.11533 Bole|XP_014101051.1 Btry|M.34089_R0 Bzon|m.10607 Ccap|XP_004534909.1
orth4160: Afra|m.26250 Asus|M.26250_R0 Bcor|m.7167 Bcur|XP_011189510.1 Bdor|XP_011214673.1 Bjar|m.23865 Blat|m.22274 Bmin|m.1279 Bole|XP_014096041.1 Btry|M.22274_R0 Bzon|m.24188 Ccap|XP_012158273.1
orth4161: Afra|m.26263 Aobl|m.13740 Asus|M.26263_R0 Bcor|m.40049 Bcur|XP_011190526.1 Bdor|XP_011213827.1 Blat|m.60983 Bmin|m.8978 Bole|XP_014089648.1 Btry|M.60983_R0 Bzon|m.20631 Ccap|XP_004521037.1
orth4162: Afra|m.26271 Aobl|m.5826 Asus|M.26271_R0 Bcor|m.16137 Bcur|XP_011187963.1 Bdor|XP_011209088.1 Blat|m.23407 Bmin|m.11893 Bole|XP_014089251.1 Btry|M.23407_R0 Bzon|m.13910 Ccap|XP_012160638.1
orth4164: Afra|m.26319 Asus|M.26320_R0 Bcor|m.43743 Bcur|XP_011176706.1 Bdor|XP_011206634.1 Bjar|m.14757 Blat|m.15693 Bmin|m.21432 Bole|XP_014100086.1 Btry|M.15693_R0 Bzon|m.19670 Ccap|XP_004527281.1
orth4165: Afra|m.26329 Aobl|m.19029 Asus|M.26329_R0 Bcor|m.15363 Bcur|XP_011189209.1 Bdor|XP_011204782.1 Blat|m.17248 Bmin|m.1622 Bole|XP_014090419.1 Btry|M.17248_R0 Bzon|m.20912 Ccap|XP_004525876.1
orth4166: Afra|m.26331 Aobl|m.16361 Asus|M.26331_R0 Bcor|m.27310 Bcur|XP_011184677.1 Bdor|XP_011210442.1 Blat|m.48981 Bmin|m.8148 Bole|XP_014090669.1 Btry|M.48981_R0 Bzon|m.21301 Ccap|XP_004521191.1
orth4167: Afra|m.26333 Asus|M.26333_R0 Bcor|m.27085 Bcur|XP_011179049.1 Bdor|XP_011200299.1 Bjar|m.8313 Blat|m.5439 Bmin|m.22514 Bole|XP_014088431.1 Btry|M.5439_R0 Bzon|m.41400 Ccap|XP_004522088.1
orth4168: Afra|m.2634 Aobl|m.6003 Asus|M.2634_R0 Bcor|m.14090 Bcur|XP_011191528.1 Bdor|XP_011203907.1 Blat|m.43224 Bmin|m.2112 Bole|XP_014097440.1 Btry|M.43224_R0 Bzon|m.28519 Ccap|XP_004529234.1
orth4169: Afra|m.26389 Aobl|m.20583 Asus|M.26389_R0 Bcor|m.10242 Bcur|XP_011181298.1 Bdor|XP_011201972.1 Blat|m.17537 Bmin|m.9506 Bole|XP_014092703.1 Btry|M.17537_R0 Bzon|m.50606 Ccap|XP_004526265.1
